"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-10-23 03:33:50",1761190430027,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/error","GET","",-1,"cjnb6-1761190429663-4f188bfe5628","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"[next-auth][error][NO_SECRET] 
https://next-auth.js.org/errors#no_secret Please define a `secret` in production. Error [MissingSecretError]: Please define a `secret` in production.
    at b.assertConfig (.next/server/chunks/644.js:25:64855)
    at q (.next/server/chunks/644.js:25:50510)
    at async g (.next/server/chunks/644.js:17:22154)
    at async a.length.b (.next/server/chunks/644.js:17:23595)
    at async k (.next/server/app/api/auth/[...nextauth]/route.js:1:4061)
    at async g (.next/server/app/api/auth/[...nextauth]/route.js:1:5064) {
  code: 'NO_SECRET'
}","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2H9G0TBFZHS6ESZVTEDV","",-1
"2025-10-23 03:33:50",1761190430013,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/_log","POST","",-1,"hq2gx-1761190429636-220b24273693","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"[next-auth][error][NO_SECRET] 
https://next-auth.js.org/errors#no_secret Please define a `secret` in production. Error [MissingSecretError]: Please define a `secret` in production.
    at b.assertConfig (.next/server/chunks/644.js:25:64855)
    at q (.next/server/chunks/644.js:25:50510)
    at async g (.next/server/chunks/644.js:17:22154)
    at async a.length.b (.next/server/chunks/644.js:17:23595)
    at async k (.next/server/app/api/auth/[...nextauth]/route.js:1:4061)
    at async g (.next/server/app/api/auth/[...nextauth]/route.js:1:5064) {
  code: 'NO_SECRET'
}","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2H96Z3SGX9MZVDAXFRKS","",-1
"2025-10-23 03:33:50",1761190430000,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/error","GET","",500,"cjnb6-1761190429663-4f188bfe5628","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",12,"iad1",120,2048,"","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2H9G0TBFZHS6ESZVTEDV","EUJZBCypPQnH",1
"2025-10-23 03:33:49",1761190429990,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/_log","POST","",500,"hq2gx-1761190429636-220b24273693","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",13,"iad1",116,2048,"","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2H96Z3SGX9MZVDAXFRKS","77sBpM0HKN8Z",1
"2025-10-23 03:33:49",1761190429768,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/error","GET","",200,"cjnb6-1761190429663-4f188bfe5628","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","info","preview","master","","edge-middleware","/src/middleware","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2H2948SQBPPKPDPBCJNV","zB2JxF9SQ769",-1
"2025-10-23 03:33:49",1761190429752,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/_log","POST","",200,"hq2gx-1761190429636-220b24273693","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","info","preview","master","","edge-middleware","/src/middleware","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2H1RM3SBPRKKYXJ05CWT","YYuM9piitvSy",-1
"2025-10-23 03:33:49",1761190429330,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/providers","GET","",-1,"2ppcd-1761190428980-ea9c6d67bca8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"[next-auth][error][NO_SECRET] 
https://next-auth.js.org/errors#no_secret Please define a `secret` in production. Error [MissingSecretError]: Please define a `secret` in production.
    at b.assertConfig (.next/server/chunks/644.js:25:64855)
    at q (.next/server/chunks/644.js:25:50510)
    at async g (.next/server/chunks/644.js:17:22154)
    at async a.length.b (.next/server/chunks/644.js:17:23595)
    at async k (.next/server/app/api/auth/[...nextauth]/route.js:1:4061)
    at async g (.next/server/app/api/auth/[...nextauth]/route.js:1:5064) {
  code: 'NO_SECRET'
}","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2GKYEQTWKFFN7JKCGJ02","",-1
"2025-10-23 03:33:49",1761190429310,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/providers","GET","",500,"2ppcd-1761190428980-ea9c6d67bca8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",14,"iad1",116,2048,"","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2GKYEQTWKFFN7JKCGJ02","77sBpM0HKN8Z",1
"2025-10-23 03:33:49",1761190429084,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/providers","GET","",200,"2ppcd-1761190428980-ea9c6d67bca8","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","info","preview","master","","edge-middleware","/src/middleware","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J2GCWV3G1RZZ0X15R0JPQ","YYuM9piitvSy",-1
"2025-10-23 03:33:40",1761190420489,"nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app/api/auth/_log","POST","",-1,"hq2gx-1761190420086-be089c77f3e0","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 Edg/141.0.0.0","error","preview","master","","lambda","/api/auth/[...nextauth]","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","nutriscan-3qnbq5r4x-uberman99s-projects.vercel.app","dpl_4f98ep19dw4ExSzaYXjnCSxwD21p",-1,"iad1",-1,-1,"[next-auth][error][NO_SECRET] 
https://next-auth.js.org/errors#no_secret Please define a `secret` in production. Error [MissingSecretError]: Please define a `secret` in production.
    at b.assertConfig (.next/server/chunks/644.js:25:64855)
    at q (.next/server/chunks/644.js:25:50510)
    at async g (.next/server/chunks/644.js:17:22154)
    at async a.length.b (.next/server/chunks/644.js:17:23595)
    at async k (.next/server/app/api/auth/[...nextauth]/route.js:1:4061)
    at async g (.next/server/app/api/auth/[...nextauth]/route.js:1:5064) {
  code: 'NO_SECRET'
}","prj_JIsMphyIzuIlghhZj92M5MZy2nzd","","","01K87J27YQ93VMQBSZGKDBCA7S","",-1
